"ITF.","あいてぃーえふ","①筑波大学のスローガンである IMAGINE THE FUTURE. の略。②筑波大学のメッセージソング「IMAGINE THE FUTURE 〜未来を想え〜」の略。③転じて、筑波大学そのものを指す略称としても利用される。","ITF.のピリオドを忘れると間髪入れずに指摘する学生が新学期にはよく見られるが、そのうち誰も気にしなくなる。"
"吾妻","あづま","つくば市の地名。つくば駅やトナリエつくばスクエアが立地し、買い物にも飲食にも困らない地域。",""
"アパ民","あぱみん","筑波大学の学生で、アパートに住む人たちのこと。",""
"天1","あまいち","天久保1丁目の略。居酒屋やバーが多く、歓楽街が形成されており、夜になると賑やかになる。",""
"天久保池","あまくぼいけ","学内にある池。体芸エリアから平砂へペデを通って移動したとき、左手に見える。松美池より一回り大きい。飛び込まれることは少ないが、釣仙人がよくいる。この池の鯉を釣って食べると除籍になるという噂がある。",""
"天3","あまさん","天久保3丁目の略。飲食店が多い上に、スーパーなどがある桜へのアクセスが良く、便利な地域。",""
"天2","あまに","天久保2丁目の略。民間の学生用のアパートがそれなりに立地するほか、平砂・追越学生宿舎も立地する。飲食店や居酒屋も多い。",""
"天の川","あまのがわ","二学と三学の間を流れる水路の俗称。水質が非常に悪い。","二学に女性が多い学類が、三学に男性が多い学類が、それぞれ多く配置されていることから。"
"イーアス","いーあす","研究学園駅前にある大型ショッピングモール「イーアスつくば」の略称。",""
"ARE","えーあーるいー","Advancing Researcher Experience（先導的研究者体験プログラム）の略称。学類1〜3年生でも、研究計画書を提出して採択されれば、アドバイザ教員を通して研究費を使い、研究活動をすることができるというプログラム。",""
"AC","えーしー","①アドミッションセンターの略称。②→AC入試。","②から転じて、AC入試合格者を指すこともある。"
"AC入試","えーしーにゅうし","アドミッションセンターが実施する入学試験。",""
"ACCC","えーしーしーしー","→学情",""
"AC部屋","えーしーべや","3F棟2階にある、産学間連携推進室の略称。","AC入試との直接的な関係はない。"
"エクストリーム移動","えくすとりーむいどう","講義間の休み時間15分の間に、春日から本学まで移動すること。春日エリアと本学の距離が遠いため、時間に追われた春日民の自転車は必然的にスピードが増す。ただし、2020年度から新型コロナウイルスの影響でオンデマンド授業や同時双方向型の授業が導入されたため、見かける頻度は減っている。",""
"MBA","えむびーえー","①MacBook Airの略。②まぜそば、バリかた、アブラ増しの略。",""
"MBP","えむびーぴー","MacBook Proの略。48台並列に接続すると、アイドルグループに昇華される。",""
"えりたん","","情報科学類の先輩が提供しているアプリ、TwitterBot。授業の教室やバスの時刻表を教えてくれる。",""
"LT","えるてぃー","Lightning Talkの略。短時間でプレゼンを行う行事。",""
"追越","おいこし","①追越学生宿舎（平砂学生宿舎と医学エリアに挟まれている宿舎）のこと。②①から転じて、追越学生宿舎の周辺のこと。","平砂学生宿舎と追越学生宿舎の境界は明瞭ではない。"
"学情","がくじょう","大学会館付近にある、学術情報メディアセンターの略。学内のネットワークの管理などを行っている。",""
"学費","がくひ","二学と三学の間の池から、1日数回〜十数回噴き出す噴水の俗称。","学費から噴水の維持費が引かれているとの言いがかりをつけられたことから。"
"が狂い","がくるい","「学類」の誤記。筑波大学では、学科ではなく学類という表記を用いるが、入学後まもなくは「学類」が「が狂い」に誤変換される場合があることから。",""
"春日","かすが","春日エリアのこと。春日キャンパスではない。","旧図書館情報大学。学類で言うと、情報メディア創成学類と知識情報・図書館学類にあたる。本学から距離があり、昼休み以外で本学での授業と春日エリアでの授業が隣接すると、エクストリーム移動が発生する。"
"カス食","かすしょく","春日食堂の略称。「カス」で揶揄しているわけではなく、実際そんなに酷いものではない。",""
"関鉄","かんてつ","関東鉄道の略。つくばでは専ら関鉄バスを指す。遅い・高い・荒いの三拍子が揃う、宅通民を支える交通手段の1つ。つくばセンター発着の「筑波大学循環」のほか、荒川沖駅・土浦駅などの常磐線各駅へのバスも運行している。",""
"機室","きしつ","計算機室の略。","情報科学類では、情報科学類の計算機室を指すことがほとんど。"
"教職","きょうしょく","教職課程の科目の通称。教員免許を取得したい場合は、集中講義などを利用して教職科目を履修する。","理論上は教員免許を取得できるが、あくまで理論上であり、必修と被っている授業も存在する。本気で教員免許を取得するには、それなりの覚悟が必要。"
"教心","きょうしん","教職の必須科目「教育心理学」の略称。",""
"銀豚","ぎんぶた","「銀の豚」の略称。魚介系・醤油系・二郎系など、多彩な味が楽しめ、三学からも近いラーメン屋。",""
"クラス代表者","くらすだいひょうしゃ","各クラスから数名ずつ選ばれる人々。過去年度では毎週会議を開催していたが、2022年度からは必要な場合に応じて開催されるようになった。",""
"クラ代","くらだい","→クラス代表者",""
"車持ち","くるまもち","自動車免許を取得し、マイカーを手に入れた学生の総称。彼らの多くは、他の学生たちの足となり便利に使われるが、それを喜びとする車持ちも多数存在する。",""
"芸専","げいせん","①芸術専門学群の略称。②芸術専門学群が主に講義を行う5C棟周辺を指す言葉。","ゲームセンターではない。"
"現視研","げんしけん","「現代視覚文化研究会」の略。「gsk（ジーエスケー）」とも呼ばれる。現代的な視覚文化（2次元）の研究をしているサークル。雙峰祭で大規模な企画を出すことで有名。",""
"Costco","こすとこ","会員制の大型倉庫店。やど祭などで大量に何かを購入したい場合に利用される。",""
"粉クリ","こなくり","三学の名店街や体芸食堂の2階にある店「粉とクリーム」の略称。パスタとパンを販売している。",""
"再履","さいり","再履修の略。単位を落とした科目を、次年度または休業期間中の集中講義で再び履修すること。","再履だからといって、単位取得が容易になるとは限らない。"
"サテ室","さてしつ","学術情報メディアセンターが運営する計算機室の通称。学内各所にある。","情報科学類生は1年次必修科目であるデータサイエンスで使うことがある。"
"三学食堂","さんがくしょくどう","かつて3A棟の1Fにあった食堂。惜しくも2020年7月末に閉店した。跡地は飲食スペースになっている。",""
"自主休講","じしゅきゅうこう","ある日、神のお告げによって授業が休講であることが告げられる。その日は自由が与えられる。",""
"常磐線","じょうばんせん","茨城県を南北に走る、JRの鉄道路線。つくば駅へのアクセスの悪さゆえ、常磐線ユーザであった宅通民は徐々に車で通学するようになる。","俗に、電車内は飲食自由と言われる。また、ボックス席で缶ビールは風物詩。"
"ジョットク","じょっとく","情報科学類開設「情報科学特別演習」「情報特別演習I」「情報特別演習II」の通称。3つすべてジョットクと呼ばれる。","mastの「情報メディア特別演習」は「特演」と呼ばれるため、話し相手によって言葉を変える必要がある。"
"スタバ","すたば","①スターバックス　コーヒーの略。中央図書館に併設されている。②俗に、家系こってりラーメンのこと。","空きコマに出向き、Macを広げると、立派な意識高い系になれる。"
"スポデー","すぽでー","スポーツ・デーの略称。春学期と秋学期に一度ずつ開催される、体育祭のようなもの。",""
"Slack","すらっく","ビジネス向けグループチャットツール。","情報科学類では、LINEのグループよりも好まれる場合がある。"
"清六","せいろく","「清六屋」の略称。大学会館付近にある家系ラーメン屋。名目上は24時間365日営業しているので、深夜にお腹が空いても大丈夫。",""
"セカンドイヤーセミナー","せかんどいやーせみなー","筑波大学全学共通で、1年次春ABモジュールに必修となる「ファーストイヤーセミナー」という科目を再履修すること。基本的にこのようなことはないが、出席をほとんどしないと、もちろん落単する。その場合、1年生に混じって授業を取ることになる。","過去、「フレッシュマンセミナー」という名前で開講されていた際には再履修のことを「リフレッシュマンセミナー」と呼んでいた。"
"CEGLOC","せぐろっく","グローバルコミュニケーション教育センターの略称。外国語の授業はここで実施される。",""
"絶起","ぜっき","「絶望の起床」の略称。明らかに講義に間に合わない時間に起きること。絶起した人間は、遅刻するかブッチするかの選択を迫られる。",""
"雙峰祭","そうほうさい","筑波大学の学園祭のこと。11月に開催される。やどかり祭とは異なり、大学公式のイベントであるため、前後が休講になる。",""
"体サ連","たいされん","体育けいサークル連合会の略称。",""
"体専","たいせん","①体育専門学群の略称。②中央体育館など周辺を指す言葉。",""
