名称,よみがな,説明,補足
AC入試,エーシーにゅうし,アドミッションセンターが実施する入学試験。,
AC部屋,エーシーべや,「産学間連携推進室」の略称。3F棟2階にある。,AC入試との関係は全くない。
ARE,エーアールイー,「Advancing Researcher Experience（先導的研究者体験プログラム）」の略称。学類 の 1〜3 年生でも、研究計画書を提出して採択されれば、アドバイザ教員を通して研究費を使い、研究活動をすることができるプログラム。,
Bcc,ビーシーシー,「Blind Carbon Copy」の略称。,この新歓パンフレットは新しく入学する皆様のもとにBccでお送りしております。
CEGLOC,セグロック,「Center for Education of Global Communication（グローバルコミュニケーション教育センター）」の略称。外国語の授業はよくここで実施される。,
coins,コインズ,「College Of INformation Science（情報科学類）」の略称。,情報学群は「School of Informatics」
Discord,ディスコード,ゲーマーのために開発された、チャットや通話、画面共有ができるアプリ。連絡手段として採用しているサークルもあるので、アカウントを持っておくと良いかもしれない。,
IPC,アイピーシー,「情報処理推進特別委員会」の英称。全代会の委員会の一つ。詳しくは第6章へ。,
ITF.,アイティーエフ,①筑波大学のスローガンである「IMAGINE THE FUTURE.」の略称。②筑波大学のメッセージソング「IMAGINE THE FUTURE 〜未来を想え〜」の略称。③筑波大学そのもの。,ITF. のピリオドを忘れると間髪入れずに指摘する学生が新学期にはよく見られるが、そのうち誰も気にしなくなる。
jsys,ジェーシス,「情報メディアシステム局」の通称。学園祭実行委員会の局の一つ。詳しくは第6章へ。,
KdB,ケーディービー,「教育課程編成支援システム」の通称。授業科目の情報を管理・公開するデータベースで、授業科目の検索などができる。,
KdBっぽいなにか,ケーディービーっぽいなにか,とあるmastの21生が作ったウェブサイトで、本家KdBよりも使いやすいという噂がある。KdBもどきと呼ばれることも。,
LT,エルティー,「Lightning Talk」の略称。5～10分間で短いプレゼンをすること。coinsLTやUNTIL. LTなどがある。かつては情報科学類の新歓でもやっていたらしい。,
manaba,マナバ,筑波大学が導入している学習管理システム。授業資料や講義動画の閲覧、課題提出などの際に使用する。,
respon,レスポン,授業の出席確認用アプリ。Webページ版もある。教員から口頭で伝えられたり黒板に書かれる9桁の番号を打ち込むことで出席を取っている。,
slack,スラック,チャットや通話ができるチームコミュニケーションツール。無料版は三か月でログが消える。学園祭実行委員会や、一部のサークルが採用している。,
sアド,エスアド,2022年度までuアドとともに大学から配布されていたメールアドレス。s\d{7}@s.tsukuba.ac.jpの形式のアドレス,uアド
Teams,チームス,Microsoftが提供するチャットツール。授業によっては使用されたり、coinsのクラ代や全代会や新歓委が採用している。なおこれを使うためのMicrosoft 365は微妙に使い勝手が悪いことで話題。,
TWINS,ツインズ,筑波大学の教育情報システム。履修登録や成績確認などの際に使用する。,
TX,ティーエックス,「つくばエクスプレス」の略称。つくばー秋葉原間を結ぶ鉄道路線で、多くの宅通民を支えている。守谷止まりの下り列車は「守谷エクスプレス」と呼ばれる。詳しくは第10章へ。,
UNTIL.,アンティル,「UNiversity of Tsukuba Information-technology Lab.」の略称。筑波大学の学生やOBによって構成される情報系技術者コミュニティ。IPCによって運営されている。ときたまLT会を開いている。,https://until-tsukuba.github.io/
uアド,ユーアド,大学から配布されるMicrosoftアカウントに紐づけられたメールアドレス。s\d{7}@u.tsukuba.ac.jpの形式のアドレス,sアド
WORD,ワード,情報科学類公認の学類誌。とても長い歴史をもつ。引っ越し準備号と入学祝い号読んでね！,
wordian,ワーディアン,WORD編集部に所属している人たちを指した言葉。,
X,エックス,旧Twitter。,
吾妻,あづま,つくば市の地名。つくば駅やトナリエつくばスクエアが立地し、買い物にも飲食にも困らない地域。,
アパ民,あぱみん,筑波大学の学生で、アパートに住む人たちのこと。,
天久保池,あまくぼいけ,学内にある池。体芸エリアから平砂へペデを通って移動したとき、左手に見える。松美池より一回り大きい。飛び込まれることは少ないが、釣仙人がよくいる。この池の鯉を釣って食べると除籍になるという噂がある。,
天の川,あまのがわ,第二エリアと第三エリアの間を流れる水路の俗称。,
イーアス,いーあす,「イーアスつくば」の略称。研究学園駅前にある大型ショッピングモール。,
石広,いしひろ,「石の広場」の略称。中央図書館前にある。新歓祭や雙峰祭の際にはステージが建設される。,
裏天3,うらあまさん,天久保3丁目の中でも、大学会館の西側に位置する地区。清六家やミニストップなどがある。,
エクストリーム移動,えくすとりーむいどう,講義間の休み時間15分の間に、春日から本学まで移動すること。春日エリアと本学の距離が遠いため、時間に追われた春日民の自転車は必然的にスピードが増す。2020年度から新型コロナウイルスの影響でオンデマンド授業や同時双方向型の授業が導入されたため見かける頻度は減っていたが、近年対面での実施が復活した授業が増えてきたため、再びよく見られるようになった。,
えりたん,えりたん,情報科学類の先輩が提供しているアプリ。授業の教室やバス・TXの時刻表を教えてくれる。,詳しくは第4章へ。
追越,おいこし,追越学生宿舎（平砂学生宿舎と医学エリアに挟まれている宿舎）のこと。,平砂学生宿舎と追越学生宿舎の境界は明瞭ではない。
お墓,おはか,「図書館情報大学記念碑」の俗称。現在の春日エリアにある。,ここへ行くことを「お墓参り」という。
学情,がくじょう,「学術情報メディアセンター」の略称。大学会館付近にあり、学内のネットワークの管理などを行っている。,
学費,がくひ,第二エリアと第三エリアの間の池にある噴水の俗称。かつて噴水の維持費が学費から引かれているとの言いがかりをつけられたことから。,年に数回、吹き出す水がとてつもなく汚くなることで話題。
が狂い,がくるい,「学類」の誤記。筑波大学では学科ではなく学類という表記を用いるが、入学後まもなくは「学類」が「が狂い」に誤変換される場合があることから。,
春日,かすが,①つくば市の地名。②春日エリアのこと。春日キャンパスではない。,旧図書館情報大学
春食,かすしょく,「春日食堂」の略称。「カス」で揶揄しているわけではなく、実際そんなに酷いものではない。食べて応援しよう。詳しくは第12章へ。,
学期,がっき,一般に大学の学期は「前期」「後期」と呼ばれるが、筑波大学では「春学期」「秋学期」と呼ばれる。,
関鉄,かんてつ,「関東鉄道」の略称。つくばでは専ら関鉄バスを指す。遅い・高い・荒いの三拍子が揃う、宅通民を支える交通手段の1つ。つくばセンター発着の「筑波大学循環」のほか、つくば駅 - 東京駅間を結ぶ「つくば号」や荒川沖駅・土浦駅などの常磐線各駅へのバスも運行している。,
機室,きしつ,「計算機室」の略称。,情報科学類では、情報科学類の計算機室を指すことがほとんど。詳しくは第11章へ。
教職,きょうしょく,教職課程の科目の通称。教員免許を取得したい場合は、集中講義などを利用して教職科目を履修する。,理論上は教員免許を取得できるが、あくまで理論上であり、必修と被っている授業も存在する。本気で教員免許を取得するには、それなりの覚悟が必要。
切る,きる,①授業の履修の登録を途中で解除すること。②対面の授業に出ないこと。,
クラ代,くらだい,クラス代表者またはクラス代表者会議のこと。詳しくは第11章へ。,
クラ代会,くらだいかい,クラ代が議題がある時に開催する会議。クラス代表者会議そのものを指すこともある。,
クラ連会,くられんかい,「クラス連絡会」の略称。年に2回開催される、学類の教員とクラス代表者が参加する会議。クラス代表者でなくても参加可能。,
車持ち,くるまもち,「運転免許を取得し、マイカーを手に入れた学生」の総称。彼らの多くは、他の学生たちの足となり便利に使われるが、それを喜びとする車持ちも多数存在する。,
芸サ連,げいされん,芸術系サークル連合会の略称。体育会、文サ連と合わせて三系と呼ばれる。,三系
芸専,げいせん,芸術専門学群の略称。,ゲームセンターではない。
芸バチ,げいばち,5C棟2階西側に位置する机と椅子が大量に並んだガラス張りのラウンジのこと。「バチ」というのは全面ガラス張りで金魚鉢のように見えることから。,体バチ
コストコ,こすとこ,会員制の大型倉庫店。やど祭などで大量に何かを購入したい場合に利用される。,やど祭
粉クリ,こなくり,「粉とクリーム」の略称。三学名店街や第二エリア、体芸食堂の2階にある飲食店。パスタとパンを提供している。詳しくは第11章へ。,
ゴミケ,ごみけ,①第三エリアで主に行われる一斉廃棄のこと。研究室などから不要なもの（実験器具や椅子など）が廃棄される。夏と冬に開催される。②一斉廃棄と並行して行われる、システム情報エリア支援室が行うPCリサイクルプロジェクトのこと。運が良ければ3E棟1階の廊下に、勝手に持って行っても良いディスプレイなどが並べられる。,
再履,さいり,「再履修」の略称。単位を落とした科目を次年度、または休業期間中の集中講義で再び履修すること。再履だからといって単位取得が容易になるとは限らない。2回落単すると再再履になる。,
サテ室,さてしつ,学術情報メディアセンターが運営する計算機室の通称。学内各所にある。,情報科学類生はおそらく機室を使うことの方が多い。
三学食堂,さんがくしょくどう,かつて3A棟の1階にあった食堂。三学名店街に近接して存在していたが、惜しくも2020年7月末に閉店した。跡地は飲食スペースになっていたり、自習する人がいたりする。,
三学名店街,さんがくめいてんがい,第三エリアの3A棟一階にある、学食が集まった場所。正式名称は「3A棟フードコート」らしい。詳しくは第11章へ。,
三系,さんけい,「文サ連、体育会、芸サ連」をまとめて呼ぶときの通称。これも学生組織の一つ。,
支援室,しえんしつ,学生の奨学金や履修関係などに関する支援を行う。エリアごとに設置されている。,
自主休校,じしゅきゅうこう,あなたが天啓を得たとき、授業が休講になる。その日は自由が与えられる。（訳：授業を切ること）,
実委,じつい,学園祭実行委員会の略称。詳しくは第6章へ。,
情特,じょっとく,情報科学類が開設している「情報科学特別演習」「情報特別演習I」「情報特別演習II」の通称。3つ全て情特と呼ばれる。詳しくは第3章へ。,mastには「情報メディア特別演習」という授業があるが、「特演」と呼ばれる。
新歓,しんかん,新入生をサークル等に勧誘歓迎すること。怪しい人にはついていかないようにしよう。,
人権,じんけん,①すべての人間が，人間の尊厳に基づいて持っている固有の権利。②自転車のこと。,
スタバ,すたば,「Starbucks Coffee」の略称。空きコマに出向き、Macを広げ作業すると、立派な意識高い系になることができると言われている。,
スタンプラリー,すたんぷらりー,履修の際などに印鑑をもらうために複数の教職員を回ること。,
スポデー,すぽでー,スポーツ・デーの略称。詳しくは第6章へ。,
